pos_total_size_in_bytes,bpp,d1_mse,d1_psnr
601,0.006851130408018444,64.343,46.8837
1925,0.021944136498228795,16.7719,52.7229
6330,0.07215916053703286,4.77898,58.1754
21240,0.24212647232331408,1.23231,64.0615
55103,0.6281494823178708,0.374486,69.2344
