pos_total_size_in_bytes,bpp,d1_mse,d1_psnr
965,0.007268687211064976,64.7548,46.856
3322,0.02502236157011176,16.479,52.7994
11448,0.08622998051012626,4.5039,58.4328
38794,0.29220875820316544,1.50103,63.2048
93898,0.7072696287508592,0.374734,69.2315
