pos_total_size_in_bytes,bpp,d1_mse,d1_psnr
973,0.007331561978730559,64.7678,46.8551
3317,0.024993618790800885,16.4674,52.8025
11405,0.08593675680105038,4.50163,58.435
38667,0.29135612233460895,1.50071,63.2058
94505,0.7120958528262399,0.374894,69.2296
