pos_total_size_in_bytes,bpp,d1_mse,d1_psnr
612,0.006981011818955671,65.1909,46.8269
1942,0.02215216495492143,16.8573,52.7009
6284,0.07168084684692393,4.75966,58.193
21315,0.2431376910474512,1.23023,64.0689
54896,0.6261921974075009,0.374397,69.2354
