pos_total_size_in_bytes,bpp,d1_mse,d1_psnr
599,0.006838826610342441,64.7212,46.8583
1966,0.022445965135113922,16.8387,52.7056
6399,0.07305784888077008,4.77596,58.1781
21467,0.245090301910219,1.23244,64.0611
55565,0.634389650423502,0.375276,69.2252
