pos_total_size_in_bytes,bpp,d1_mse,d1_psnr
964,0.0072767760258914335,64.739,46.8571
3335,0.02517432369953105,16.4876,52.7972
11371,0.08583425330955549,4.50196,58.4347
38477,0.29044451363923723,1.50131,63.204
93454,0.7054396542776535,0.37468,69.2321
