pos_total_size_in_bytes,bpp,d1_mse,d1_psnr
968,0.007302463827154906,64.7414,46.8569
3333,0.02514371067759019,16.4869,52.7973
11373,0.08579640610148011,4.50102,58.4356
38643,0.2915176752817635,1.50054,63.2063
93961,0.7088293426273782,0.374707,69.2318
